File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes,License Type,Pricing Tier
A033_C084_0918P8_001.R3D,,00:00:35:03,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins-surface,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standard
A033_C080_091838_001.R3D,,00:00:35:19,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins-emerging-sea,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standar
A033_C083_0918MG_001.R3D,,00:01:54:10,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standard
A030_C045_09156T_001.R3D,,00:00:50:51,,,5120 x 2160,r3d,"Camera pushes forward over a healthy stand of branching coral, Acropora sp., with resident anthias and damselfish, Komodo National Park, Indonesia, Pacific Ocean",small-anthias-over-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37,Commercial,Premium
A030_C060_0915PM_V2-0001.mp4,,00:00:49:51,,,5120 x 2160,r3d,"Pushing toward a healthy coral reef with a large variety of tropical fish including a pair of panda butterflyfish, Chaetodon adiergastos, anthias, damselfish and more, Komodo National Park, Indonesia, Pacific Ocean",slow-push-towards-reef-fish-corals,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,,,,,,,2.37,Commercial,Premium
A033_C006_0917EY_V1-0083.mp4,,00:00:25:00,,,5120 x 2160,r3d,"Slow motion of camera pushing toward stag horn corals and Xenia corals with a resident group of damselfish swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",slow-push-slomo-to-coral-reef-with-damselfish,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,120,,,,,,,,,,2.37,Commercial,Premium
A033_C011_0917NZ_V1-0087.mp4,,00:01:22:86,,,5120 x 2160,r3d,"Slow motion forward push over healthy hard and soft corals in beautiful blue water with a variety of damselfish and surgeonfish in the water column, Komodo National Park, Indonesia, Pacific Ocean",slow-push-slomo-over-healthy-corals,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 7:1,96,,,,,,,,,,2.37,Commercial,Premium
A033_C006_0917EY_V1-0082.mp4,,00:00:36:13,,,5120 x 2160,r3d,"Slow motion of camera pushing toward stag horn corals and Xenia corals with a resident group of damselfish swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",slow-push-slomo-over-coral-reef-damselfish,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,120,,,,,,,,,,2.37,Commercial,Premium
A033_C006_0917EY_V1-0081.mp4,,00:00:27:16,,,5120 x 2160,r3d,"Slow motion of camera pushing toward stag horn corals and Xenia corals with a resident group of damselfish swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",slow-push-over-soft-corals-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,120,,,,,,,,,,2.37,Commercial,Premium
A033_C001_09177S_V1-0079.mp4,,00:01:41:04,,,5120 x 2160,r3d,"Camera pushing forward over a variety of healthy Acropora sp., corals including table and stag horn varieties. Leather coral and soft corals cover the reef with damsel fish and chromis in the water column, Komodo National Park, Indonesia, Pacific Ocean",slow-push-over-healthy-diverse-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,120,,,,,,,,,,2.37,Commercial,Premium
